Company,Domain,Role,Topic,Difficulty,Question,Ideal_Approach,Asked_In_BITS,
Abbott,Healthcare Analytics,Data Science Intern,Technical,Medium,Scenario: You have a list of doctor names and addresses in Excel. How do you validate if the addresses are correct?,Use Google Maps API or medical registry databases for validation. Automate with PythonScript/Pandas or Excel VBA.,Yes,
Abbott,Healthcare Analytics,Data Science Intern,Technical,Medium,How would you automate updating data from Excel to a PowerPoint presentation on a monthly basis?,"Use Python libraries like `python-pptx` and `pandas`, or VBA macros to link Excel ranges to PowerPoint slides.",Yes,
Abbott,Healthcare Analytics,Data Science Intern,Technical,Medium,How do you handle missing values in a dataset?,"Imputation (Mean/Median/Mode), KNN imputation, deleting rows (if insignificant), or predicting values using regression.",Yes,
Abbott,Healthcare Analytics,Data Science Intern,Technical,Medium,Compare two datasets using Pandas.,"Use `df.compare()`, `df.equals()`, or merge/join with indicator=True to find diffs.",Yes,
Accenture AIOC,Telecommunications,Marketing Analytics,Technical,Medium,What is the coefficient of determination (R-squared)?,It shows how well independent variables explain the variation in the dependent variable; value ranges from 0 to 1 (higher = better fit).,Yes,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,Medium,What is an F-test?,"It checks if the regression model is statistically significant; i.e., if at least one predictor meaningfully explains the dependent variable.",Yes,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,Medium,What is Monte Carlo simulation?,A technique that uses random sampling and repeated computations to estimate probabilities or outcomes of uncertain events.,Yes,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,Medium,What are precision and recall?,"Precision = Correct Positives / Total Predicted Positives. Recall = Correct Positives / Total Actual Positives. Precision is about accuracy, recall is about completeness.",Yes,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,Medium,What are window functions in SQL?,"SQL functions that perform calculations across a set of related table rows (e.g., running totals, ranks, moving averages).",Yes,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,Medium,What is imbalanced data?,"A situation where classes or labels are not equally represented (e.g., 95% Negative, 5% Positive).",Yes,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,Medium,Why does imbalanced data matter?,"High accuracy can hide poor detection of the minority (often more important) class, making the model useless for rare but critical targets.",Yes,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,Medium,How do you tackle imbalanced data?,"Techniques include oversampling (e.g., SMOTE), undersampling, or using specific loss functions.",Yes,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,Medium,How many types of joins are there in SQL and what is an inner join?,"Common joins: Inner, Left, Right, Full Outer, Cross. Inner join returns only matching rows present in both tables.",Yes,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,Medium,What is the use of SUMIFS in Excel?,It adds numbers in a range based on multiple specific criteria or conditions.,Yes,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,Medium,What is the difference between ARIMA and SARIMA?,ARIMA is for non-seasonal data; SARIMA adds support for seasonality (fixed repeating patterns like monthly or quarterly).,Yes,
Aditya Birla Management Corp.,Healthcare,Data Automation, Data Science Intern,Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use STAR method. Highlight problem-solving skills and resilience.,Yes
Aditya Birla Management Corp.,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,How do you handle working with cross-functional teams?,"Emphasize communication, collaboration, and ability to bridge technical and non-technical gaps.",Yes,
Aditya Birla Management Corp.,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Provide a specific example where data analysis directly led to a solution or improvement.,Yes,
Aditya Birla Management Corp.,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,Tell me about yourself.,Short professional summary known as 'elevator pitch'.,Yes,
Aditya Birla Management Corp.,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.","Detail your role, tools used, and the outcomes of the projects mentioned.",Yes,
Aditya Birla Management Corp.,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,What are your long-term career goals in analytics?,Discuss aspirations for leadership or specialized expertise in analytics.,Yes,
Aditya Birla Management Corp.,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,What motivates you to work in the analytics field?,Express enthusiasm for discovering insights and influencing strategy through data.,Yes,
Aditya Birla Management Corp.,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,Why MBA?,Explain how an MBA complements your technical skills and prepares you for management.,Yes,
Aditya Birla Management Corp.,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,Why are you interested in our company and this role?,Show knowledge of ABG's diverse portfolio and strategic initiatives.,Yes,
Aditya Birla Management Corp.,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Highlight the growing importance of data in decision making.,Yes,
EY,Consulting,Tech Assurance,Behavioral,Medium,Tell me about a situation at work for which you got appreciation.,"STAR method. Focus on going above and beyond, or solving a critical/time-sensitive problem.",Yes,
EY,Consulting,Tech Assurance,Behavioral,Medium,How did you handle conflicts/timeline delays during your projects?,"Proactive communication, renegotiating scope/deadlines, allocating extra resources, and keeping stakeholders informed.",Yes,
Guidewire Software,Consulting,Digital Risk, Tech Assurance,Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use STAR method. Highlight technical challenges and collaborative solutions.,Yes
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,How do you handle working with cross-functional teams?,"Focus on communication across engineering, design, and business units.",Yes,
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Showcase decision-making based on metrics and user data.,Yes,
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,Tell me about yourself.,Professional introduction tailored to product management and tech.,Yes,
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.","Highlight projects involving product metrics, SQL, or user behavior analysis.",Yes,
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,What are your long-term career goals in analytics?,Connect interest in data with product leadership aspirations.,Yes,
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,What motivates you to work in the analytics field?,Discuss the power of data to reveal insights and drive product strategy.,Yes,
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,Why MBA?,Explain the desire to bridge technical skills with business strategy.,Yes,
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,Why are you interested in our company and this role?,Mention Guidewire's position in the P&C insurance industry and software leadership.,Yes,
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,Why did you choose Business Analytics as your specialization?,"Express interest in making informed, data-backed business decisions.",Yes,
HSBC,Finance,Analyst,Finance,Medium,What is the Inventory Turnover Ratio formula and how do you interpret it?,Explain formula (COGS / Avg Inventory) and implies efficiency of sales.,Yes,
